"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000254772",32824,21405,27044,0,0,0,1.67504517150283e-38,"EEF1G",15,NA
"ENSG00000268734",2181,2611,19247,0,0,0,8.05610045707128e-25,"AC245128.3",43,NA
"ENSG00000214736",640,1239,1168,0,0,0,5.8944739909881e-21,"TOMM6",64,NA
"ENSG00000211675",500,685,976,0,0,0,1.54274877307833e-20,"IGLC1",71,NA
"ENSG00000274012",2867,2115,673,0,0,0,1.96739387143146e-19,"RN7SL2",84,NA
"ENSG00000213689",326,572,850,0,0,0,5.23420021497131e-19,"TREX1",89,NA
"ENSG00000267368",802,770,526,0,0,0,1.6023891307345e-18,"UPK3BL1",96,NA
"ENSG00000145029",380,241,779,0,0,0,8.06158545476191e-18,"NICN1",108,NA
"ENSG00000266820",314,274,1246,0,0,0,1.80744498773202e-17,"KPNA2P3",115,NA
"ENSG00000213073",606,361,282,0,0,0,1.01570139805607e-15,"CHP1P2",145,NA
"ENSG00000213931",415,2762,255,0,0,0,2.23657950515837e-14,"HBE1",194,NA
"ENSG00000279117",236,296,176,0,0,0,3.36983826474093e-14,"AP001972.5",202,NA
"ENSG00000263647",160,104,573,0,0,0,4.48094260654292e-14,"BPTFP1",209,NA
"ENSG00000211596",136,104,266,0,0,0,4.58264036139993e-14,"IGKJ2",210,NA
"ENSG00000231259",129,91,146,0,0,0,9.65373750353008e-13,"ANAPC1P2",260,NA
"ENSG00000215837",83,82,281,0,0,0,1.05275290333414e-12,"SDHAP2",262,NA
"ENSG00000253797",54,161,301,0,0,0,2.25133917858361e-12,"UTP14C",285,NA
"ENSG00000218227",148,105,103,0,0,0,5.11909305813215e-12,"AC136632.1",312,NA
"ENSG00000255455",98,55,400,0,0,0,7.49936196226429e-12,"AP003486.1",323,NA
"ENSG00000230733",52,117,738,0,0,0,1.17909893769258e-11,"AC092171.2",331,NA
"ENSG00000272821",157,41,233,0,0,0,1.82504038314125e-11,"U62317.1",348,NA
"ENSG00000259623",40,88,264,0,0,0,4.07090886965902e-11,"AC125257.1",381,NA
"ENSG00000280153",327,77,98,0,0,0,5.00620110643831e-11,"AC133065.3",387,NA
"ENSG00000204196",48,95,61,0,0,0,7.22017123264231e-10,"RPL12P16",515,NA
"ENSG00000142694",28,129,86,0,0,0,1.78553157890718e-09,"EVA1B",573,NA
"ENSG00000139574",33,33,202,0,0,0,2.57548650970241e-09,"NPFF",603,NA
"ENSG00000204822",29,39,85,0,0,0,2.77318823167826e-09,"MRPL53",607,NA
"ENSG00000279095",33,31,79,0,0,0,3.91441623370348e-09,"AC243964.4",636,NA
"ENSG00000207165",74,77,34,0,0,0,4.46504198774965e-09,"SNORA70",655,NA
"ENSG00000284048",127,56,35,0,0,0,5.31139720761126e-09,"AC073111.2",673,NA
"ENSG00000263335",73,19,99,0,0,0,6.10947168663777e-09,"AF001548.2",688,NA
"ENSG00000272760",36,25,87,0,0,0,6.1387372513587e-09,"AC093726.1",689,NA
"ENSG00000283375",24,31,156,0,0,0,9.7833816039925e-09,"AC087521.4",727,NA
"ENSG00000260401",169,12,117,0,0,0,1.52437644282128e-08,"AP002761.4",768,NA
"ENSG00000265967",75,15,69,0,0,0,3.71257749341545e-08,"AC100830.3",874,NA
"ENSG00000279519",16,39,79,0,0,0,3.80037134286583e-08,"AC007382.1",878,NA
"ENSG00000228638",14,45,92,0,0,0,4.15234526701205e-08,"FCF1P2",887,NA
"ENSG00000230673",67,66,19,0,0,0,5.79744971480333e-08,"PABPC1P3",924,NA
"ENSG00000243509",60,60,20,0,0,0,6.49912432079988e-08,"TNFRSF6B",940,NA
"ENSG00000265287",40,17,51,0,0,0,7.3703194584664e-08,"AC005726.4",967,NA
"ENSG00000272155",17,24,98,0,0,0,8.43171214313477e-08,"AC055822.1",982,NA
"ENSG00000236263",20,19,163,0,0,0,8.75185577818778e-08,"AC234582.1",990,NA
"ENSG00000260966",18,27,53,0,0,0,9.63440060039387e-08,"AP001486.2",1005,NA
"ENSG00000167644",25,31,34,0,0,0,1.01450892617124e-07,"C19orf33",1018,NA
"ENSG00000210151",15,20,225,0,0,0,1.46454579532173e-07,"MT-TS1",1089,NA
"ENSG00000273300",54,26,26,0,0,0,1.50483545304743e-07,"AC000068.3",1091,NA
"ENSG00000214110",26,9,264,0,0,0,2.41686531869386e-07,"LDHAP4",1188,NA
"ENSG00000266931",24,25,30,0,0,0,2.52336062324756e-07,"AC092651.1",1189,NA
"ENSG00000261438",10,29,86,0,0,0,3.4799339244255e-07,"AL157394.1",1260,NA
"ENSG00000145075",18,17,44,0,0,0,4.56168808286793e-07,"CCDC39",1306,NA
"ENSG00000258900",16,20,38,0,0,0,5.6773918005412e-07,"HNRNPCP1",1350,NA
"ENSG00000245261",31,13,36,0,0,0,6.14374423117108e-07,"AL133375.1",1371,NA
"ENSG00000238795",22,27,23,0,0,0,6.7809827481095e-07,"SCARNA12",1391,NA
"ENSG00000255513",46,49,11,0,0,0,7.72311737266452e-07,"AC005363.1",1421,NA
"ENSG00000279528",18,19,30,0,0,0,8.64470918278689e-07,"AC115618.3",1449,NA
"ENSG00000228703",124,20,10,0,0,0,1.38950356828884e-06,"AL355310.2",1580,NA
"ENSG00000261269",14,8,198,0,0,0,1.44642779026679e-06,"AC093278.2",1594,NA
"ENSG00000125780",140,24,7,0,0,0,1.59173473544185e-06,"TGM3",1616,NA
"ENSG00000276259",15,33,21,0,0,0,1.78690318069779e-06,"AC009118.3",1653,NA
"ENSG00000273036",106,11,16,0,0,0,2.08563173270262e-06,"AL390726.4",1695,NA
"ENSG00000239257",17,31,17,0,0,0,2.66254564631118e-06,"RPL23AP1",1764,NA
"ENSG00000229590",16,46,15,0,0,0,2.8187690443678e-06,"MSX2P1",1782,NA
"ENSG00000230163",11,19,31,0,0,0,3.08160419985392e-06,"AL122010.1",1808,NA
"ENSG00000242282",18,17,17,0,0,0,6.08759525291695e-06,"AC108488.1",2020,NA
"ENSG00000272112",10,11,54,0,0,0,6.11003090358363e-06,"AC011374.2",2026,NA
"ENSG00000283426",10,18,27,0,0,0,6.17318188768923e-06,"SMBD1P",2039,NA
"ENSG00000228343",21,9,24,0,0,0,8.56134953891109e-06,"AC115618.2",2171,NA
"ENSG00000238917",102,23,3,0,0,0,9.1034208054832e-06,"SNORD10",2193,NA
"ENSG00000266208",14,17,17,0,0,0,9.99408210136474e-06,"AC080112.1",2226,NA
"ENSG00000260465",38,6,21,0,0,0,1.4364716150044e-05,"AC018557.1",2366,NA
"ENSG00000268810",14,10,19,0,0,0,2.30890758368567e-05,"AC007193.1",2604,NA
"ENSG00000183336",7,12,29,0,0,0,3.14298562421623e-05,"BOLA2",2734,NA
"ENSG00000278621",21,14,9,0,0,0,3.6863236473167e-05,"AC037198.2",2811,NA
"ENSG00000173239",2,17,213,1,0,1,6.1147497372792e-05,"LIPM",3104,NA
"ENSG00000229512",27,7,11,0,0,0,6.30984662412092e-05,"AC068580.1",3123,NA
"ENSG00000207304",10,16,11,0,0,0,6.88076134940398e-05,"SNORA8",3188,NA
"ENSG00000198744",24,58,205,29760,270,1189,7.17665198879828e-05,"MTCO3P12",3218,NA
"ENSG00000283440",18,9,10,0,0,0,8.71270496738773e-05,"LINC01260",3338,NA
"ENSG00000260413",29,12,5,0,0,0,8.90165667048573e-05,"AC025279.2",3354,NA
"ENSG00000272559",5,21,15,0,0,0,9.48668461337863e-05,"OR51F3P",3389,NA
"ENSG00000271602",12,25,5,0,0,0,0.000113937121338917,"KRT8P49",3499,NA
"ENSG00000275857",13,20,5,0,0,0,0.00014376175679585,"AC009133.4",3662,NA
"ENSG00000206047",24,5,10,0,0,0,0.000164692306383399,"DEFA1",3743,NA
"ENSG00000275902",10,9,10,0,0,0,0.000242846246460287,"AC139530.3",4022,NA
"ENSG00000267030",24,4,9,0,0,0,0.000278221355221466,"AC011498.2",4138,NA
"ENSG00000260244",12,30,2,0,0,0,0.000282967915268805,"AC104083.1",4160,NA
"ENSG00000200530",6,11,12,0,0,0,0.000306494068131164,"SNORD35B",4241,NA
"ENSG00000240494",7,5,22,0,0,0,0.000326041166889056,"RPS12P28",4310,NA
"ENSG00000227986",4,16,12,0,0,0,0.000340263427428616,"TRIM60P18",4334,NA
"ENSG00000279504",23,6,5,0,0,0,0.000391233687167681,"AD001527.2",4427,NA
"ENSG00000213578",11,2,28,0,0,0,0.000454390116686087,"CPLX3",4556,NA
"ENSG00000273149",46,6,1,0,0,0,0.000516632300726757,"AL138963.3",4668,NA
"ENSG00000108950",26,128,5449,126,57,43,0.000545036713156772,"FAM20A",4711,NA
"ENSG00000212643",8,9,8,0,0,0,0.000570101868653379,"ZRSR2P1",4750,NA
"ENSG00000228452",7,3,24,0,0,0,0.000694597320038345,"AC098484.1",4959,NA
"ENSG00000180785",5,15,6,0,0,0,0.000836662985327343,"OR51E1",5172,NA
"ENSG00000276101",7,4,15,0,0,0,0.000979866289845203,"AC027601.3",5329,NA
"ENSG00000229417",7,3,19,0,0,0,0.00103799428437819,"NPM1P25",5402,NA
"ENSG00000278527",13,3,9,0,0,0,0.00123086789614911,"SNORD22",5591,NA
"ENSG00000273544",15,15,1,0,0,0,0.00123473269496451,"SNORA44",5598,NA
"ENSG00000271984",8,5,9,0,0,0,0.00129292889479586,"AL008726.1",5654,NA
"ENSG00000272396",2,1,67,0,0,0,0.00135447266761514,"AC005392.3",5699,NA
"ENSG00000278274",9,9,4,0,0,0,0.00142492121392243,"SNORA61",5754,NA
"ENSG00000270096",15,4,5,0,0,0,0.00146965284259393,"AC078795.2",5799,NA
"ENSG00000258967",35,0,10,0,0,0,0.00287091162157751,"HMGN1P3",6667,NA
"ENSG00000237718",15,5,2,0,0,0,0.00295437639201072,"AC009095.1",6702,NA
"ENSG00000131042",4204,4794,24590,726,4066,172,0.00323643266782314,"LILRB2",6815,NA
"ENSG00000196917",2,3,1,21,5,379,0.00335730367875179,"HCAR1",6870,NA
"ENSG00000234882",6,16,1,0,0,0,0.00370228606440756,"EIF3EP1",7033,NA
"ENSG00000261229",2,4,20,0,0,0,0.00378348209604806,"AC021483.2",7069,NA
"ENSG00000171987",4,15,2,0,0,0,0.00380284448933532,"C11orf40",7081,NA
"ENSG00000267670",1,4,28,0,0,0,0.00398184735041766,"AC022098.2",7136,NA
"ENSG00000205495",7,6,4,0,0,0,0.00405023668367675,"OR52J3",7157,NA
"ENSG00000172867",14,132,6,3,0,10,0.00407201676477326,"KRT2",7170,NA
"ENSG00000209582",40,3,0,0,0,0,0.0045427098369477,"SNORA48",7337,NA
"ENSG00000252481",1,7,13,0,0,0,0.00698402494372473,"SCARNA13",8019,NA
"ENSG00000261011",1,12,6,0,0,0,0.0074125866584998,"AL136982.4",8131,NA
"ENSG00000254633",17,0,14,0,0,0,0.00767342618604893,"AL512590.2",8203,NA
"ENSG00000263683",2,2,19,0,0,0,0.00891016630487475,"AC005154.3",8479,NA
"ENSG00000237437",4,7,3,0,0,0,0.00971649631404476,"ASS1P12",8641,NA
