"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000285417",6,0,12,4595,1561,2923,6.335742983977e-15,"BX571818.1",64,NA
"ENSG00000286071",16,8,9,922,1105,1198,1.7555741364163e-12,"AL136171.2",124,NA
"ENSG00000286051",0,0,0,2418,482,6603,3.64003364002304e-12,"AC244102.3",137,NA
"ENSG00000129682",34,32,509,4,4,1,2.18581881274502e-09,"FGF13",294,NA
"ENSG00000286742",2,3,0,819,445,3285,2.68584409214097e-09,"AC000065.1",296,NA
"ENSG00000286153",7,1,16,484,872,957,4.74225117885797e-09,"AP000331.1",323,NA
"ENSG00000286616",2,1,3,306,187,289,9.82087885252772e-09,"AL008730.1",374,NA
"ENSG00000286545",3,4,2,287,237,334,1.30150963061507e-08,"AC092645.2",398,NA
"ENSG00000287195",18,7,10,1402,2177,507,1.34978752977208e-08,"AC131568.1",402,NA
"ENSG00000283208",5,6,4,331,282,439,1.35970162884857e-08,"AC001226.2",403,NA
"ENSG00000287932",0,0,0,323,121,999,5.76080357401143e-08,"AC000065.2",518,NA
"ENSG00000204389",16939,2396,3445,673,733,929,1.59258666717426e-07,"HSPA1A",600,NA
"ENSG00000260007",5,12,22,498,395,367,2.10278757189976e-07,"AC107871.1",626,NA
"ENSG00000107317",114,657,39,19,4,1,5.63421775524599e-07,"PTGDS",750,NA
"ENSG00000285692",0,0,0,93,204,135,1.01482878856826e-06,"AC023509.6",845,NA
"ENSG00000285650",1,0,0,193,195,191,1.19612316271693e-06,"AL157827.2",869,NA
"ENSG00000287255",24,248,1325,40,7,5,1.36145002186939e-06,"AC007877.1",902,NA
"ENSG00000286341",6,5,6,278,622,187,1.36367162687625e-06,"AP002762.3",903,NA
"ENSG00000198892",524,57,135,42,11,18,1.88834850582572e-06,"SHISA4",955,NA
"ENSG00000287408",0,0,1,225,223,132,1.88899789094708e-06,"AC027811.1",957,NA
"ENSG00000287555",7,2,8,195,233,314,1.97693249811977e-06,"AC023424.2",962,NA
"ENSG00000286320",3,3,1,217,151,439,2.01338393700062e-06,"AC108053.1",964,NA
"ENSG00000286512",2,0,12,303,290,449,3.44882740709878e-06,"AL031768.2",1051,NA
"ENSG00000287771",20,11,285,4,0,0,4.41836787192176e-06,"AC007271.1",1104,NA
"ENSG00000288048",1,0,2,757,43,564,4.50624521093654e-06,"AC104088.3",1112,NA
"ENSG00000235655",713,612,7580,207,491,319,4.74421535228675e-06,"H3P6",1124,NA
"ENSG00000286550",2,0,1,116,142,203,8.13428247195687e-06,"AL591002.1",1272,NA
"ENSG00000285303",0,0,0,46,330,122,8.14381436849779e-06,"AC004381.4",1275,NA
"ENSG00000287680",8,3,1,440,204,383,1.14844822252706e-05,"AC093330.3",1370,NA
"ENSG00000285803",2,0,2,126,169,101,1.25883335822423e-05,"AL442003.1",1393,NA
"ENSG00000286672",2,0,0,159,130,223,1.29275667323261e-05,"AL096712.2",1403,NA
"ENSG00000287945",0,0,0,57,124,91,1.40570911099473e-05,"AL603824.1",1435,NA
"ENSG00000286245",0,0,0,55,90,158,1.43374537073841e-05,"AC125437.3",1438,NA
"ENSG00000285774",30,15,9,1,2,1,1.48585564885297e-05,"AL133444.1",1449,NA
"ENSG00000168314",13,7,257,4,3,0,1.79403828534198e-05,"MOBP",1514,NA
"ENSG00000285999",4,4,17,161,396,395,1.80447017174271e-05,"AC025442.2",1518,NA
"ENSG00000271821",8,9,65,2,1,0,1.82383867475387e-05,"AL662844.3",1522,NA
"ENSG00000286214",15,6,53,841,670,593,1.95912192933547e-05,"AUXG01000058.1",1546,NA
"ENSG00000287727",1,2,0,138,106,145,2.15016635284024e-05,"AL139423.2",1578,NA
"ENSG00000203811",46,80,12,6,0,5,2.35468438378713e-05,"H3C14",1613,NA
"ENSG00000287351",4,3,0,158,277,203,2.38746886412608e-05,"AC092120.3",1619,NA
"ENSG00000288065",1,0,5,130,130,125,2.42714520397015e-05,"AC007881.4",1628,NA
"ENSG00000157654",115,190,141,2545,4036,4236,3.07160600849257e-05,"PALM2AKAP2",1699,NA
"ENSG00000091583",86,1,9,0,0,0,3.34639111757765e-05,"APOH",1734,NA
"ENSG00000288032",0,0,0,56,71,86,3.36573202466313e-05,"AC104472.5",1740,NA
"ENSG00000286912",0,0,0,196,26,127,3.89062365738242e-05,"AC006008.1",1780,NA
"ENSG00000286864",8,0,0,575,543,479,3.99102505599755e-05,"AC012076.1",1788,NA
"ENSG00000285966",23,46,8,0,1,4,4.84877748893836e-05,"AC007686.4",1853,NA
"ENSG00000287125",1,3,0,233,165,84,5.1762148494825e-05,"AC018695.9",1867,NA
"ENSG00000287044",0,0,0,52,57,103,5.59407468483289e-05,"AL139106.1",1893,NA
"ENSG00000286825",3,0,0,103,210,142,6.26298502448016e-05,"AL096870.10",1957,NA
"ENSG00000287403",0,0,0,37,81,107,6.5698649190768e-05,"AC016245.2",1978,NA
"ENSG00000284770",16,1,10,362,503,448,6.61656402936972e-05,"TBCE",1981,NA
"ENSG00000287613",0,2,0,129,85,235,7.75502274172329e-05,"AC069549.2",2035,NA
"ENSG00000286481",12,49,7,2,0,0,7.84866180699825e-05,"AC011246.1",2046,NA
"ENSG00000285979",46,31,30,904,806,628,8.92270830628004e-05,"AC009090.6",2087,NA
"ENSG00000286997",11,2,4,206,240,587,9.22215294486374e-05,"AC005856.1",2097,NA
"ENSG00000281591",0,0,0,12,42,808,9.42580730533628e-05,"DBET",2102,NA
"ENSG00000287608",4,0,0,202,123,167,9.59552276138756e-05,"AC022137.3",2111,NA
"ENSG00000286715",1,0,0,98,91,75,0.000101837501947157,"AL589863.2",2133,NA
"ENSG00000287087",1,0,0,104,79,79,0.000108662368043462,"AC025175.2",2171,NA
"ENSG00000272980",1,0,0,64,97,117,0.000117503083759668,"Z94721.2",2218,NA
"ENSG00000284154",39,9,20,6,6,5,0.000119442350643914,"MIR3605",2232,NA
"ENSG00000136872",177,12,34,12,12,12,0.000139149476670568,"ALDOB",2290,NA
"ENSG00000286599",7,3,4,127,146,168,0.000151985368464124,"AC110611.1",2337,NA
"ENSG00000287466",0,0,0,66,50,43,0.000154597917434087,"AL355531.1",2345,NA
"ENSG00000287957",1,0,4,113,74,109,0.000165477196487173,"AC007695.1",2372,NA
"ENSG00000286894",0,0,0,40,64,56,0.000168655462410526,"AC009141.1",2377,NA
"ENSG00000284946",14,9,3,321,400,348,0.000172399998898959,"AC068831.6",2395,NA
"ENSG00000287663",0,0,0,41,37,149,0.000177984823936646,"AL122020.2",2415,NA
"ENSG00000285701",1,0,1,69,97,131,0.000179193832643443,"AL357140.4",2427,NA
"ENSG00000287719",24,6,14,0,0,2,0.00018499229304982,"AP001531.1",2438,NA
"ENSG00000286236",3,22,117,5,6,1,0.000187346566768908,"AC018755.5",2443,NA
"ENSG00000285719",0,0,0,42,25,238,0.000209535014873849,"AL356275.1",2497,NA
"ENSG00000286757",1,3,2,102,72,110,0.000214955542093108,"AL137139.2",2514,NA
"ENSG00000286721",1,0,0,99,36,206,0.000233484256017111,"AC010623.1",2569,NA
"ENSG00000285108",2,1,0,14,277,690,0.000233496608964803,"AC103718.1",2570,NA
"ENSG00000152766",41,153,5898,39,189,21,0.000258771434736032,"ANKRD22",2626,NA
"ENSG00000286633",1,4,0,94,129,353,0.00026436056609548,"AL160400.1",2635,NA
"ENSG00000287242",1,0,0,74,59,93,0.000266768958530028,"AC073593.2",2638,NA
"ENSG00000286431",16,4,12,278,213,506,0.000275311929487366,"BX842570.1",2650,NA
"ENSG00000284959",4,7,1,226,130,257,0.000279298071605278,"AC007262.2",2657,NA
"ENSG00000137267",391,26,76,43,18,33,0.000282075220493725,"TUBB2A",2665,NA
"ENSG00000286849",4,0,0,114,138,151,0.000291117710584819,"AC009152.6",2684,NA
"ENSG00000286899",4,0,1,113,183,81,0.000297278071850892,"AL139286.2",2697,NA
"ENSG00000263677",0,0,0,6,159,184,0.000322335325259581,"AC012588.1",2740,NA
"ENSG00000285596",10,5,8,150,179,167,0.000322483253460592,"AC017116.2",2744,NA
"ENSG00000285658",2,0,0,99,76,94,0.000332044144337493,"AC127035.1",2762,NA
"ENSG00000288076",2,2,2,80,75,87,0.000359681724641558,"AC018398.2",2802,NA
"ENSG00000285909",5,4,0,214,373,115,0.000370195180388111,"AP002762.2",2820,NA
"ENSG00000287106",0,0,0,51,45,37,0.000370195180388111,"AC106743.1",2821,NA
"ENSG00000286722",0,0,1,51,72,90,0.000387203610742701,"AC009244.1",2857,NA
"ENSG00000287857",0,0,0,47,44,39,0.000395755263187245,"AL592546.3",2867,NA
"ENSG00000288235",0,0,0,90,22,56,0.000414543099872318,"FAM106C",2892,NA
"ENSG00000278206",1,1,0,62,81,113,0.000420553253093801,"AL031320.2",2903,NA
"ENSG00000207736",8,12,15,5,1,2,0.000457168156252718,"MIR657",2969,NA
"ENSG00000267385",12,10,69,3,11,2,0.000462310354955585,"AC011498.4",2985,NA
"ENSG00000287168",15,17,42,420,267,329,0.000466039940944136,"AL512625.3",2989,NA
"ENSG00000255723",0,0,0,36,80,32,0.000471358503296827,"AC108516.2",2995,NA
"ENSG00000235027",207,25,40,24,27,5,0.000479107508185654,"AC068580.3",3006,NA
"ENSG00000287503",0,0,0,30,52,51,0.000492053284719406,"AC027243.3",3020,NA
"ENSG00000285730",4,0,0,99,164,114,0.000581418846056426,"Z94721.3",3127,NA
"ENSG00000261732",1,0,0,41,98,69,0.000598820246540667,"AL031708.1",3163,NA
"ENSG00000287092",0,0,1,171,8,258,0.000629073389439615,"AL589693.1",3193,NA
"ENSG00000287837",28,12,28,732,276,408,0.000650587541872071,"AL590064.1",3211,NA
"ENSG00000286076",8,7,16,0,1,3,0.000685240802350569,"AC005050.3",3247,NA
"ENSG00000248780",4,3,76,0,0,2,0.00068885941718801,"ARL4AP2",3252,NA
"ENSG00000285533",59,72,132,85,81,99,0.000736942212098304,"RELA-DT",3318,NA
"ENSG00000286861",1,5,2,107,80,120,0.000771513443667743,"AL049779.4",3359,NA
"ENSG00000286803",0,0,0,29,48,41,0.000802881025615589,"AL109824.1",3384,NA
"ENSG00000287097",14,106,0,2,0,2,0.000806409314091405,"AL590550.1",3393,NA
"ENSG00000228347",15,6,6,1,1,0,0.000860183015102142,"FTLP17",3442,NA
"ENSG00000286219",13,10,2,318,426,251,0.000872035207938195,"NOTCH2NLC",3452,NA
"ENSG00000286640",7,53,6,5,2,4,0.000878007051714532,"AC093151.5",3461,NA
"ENSG00000287427",0,0,0,16,213,23,0.000879172183730929,"AL390236.1",3469,NA
"ENSG00000286314",8,0,2,101,359,255,0.000881241452479562,"AC010359.3",3471,NA
"ENSG00000285627",6,0,0,198,161,201,0.000901451020094825,"AC005343.4",3497,NA
"ENSG00000236592",2,7,22,0,1,0,0.000956283478848245,"S100A11P2",3544,NA
"ENSG00000286216",0,0,1,66,44,57,0.00096832352900833,"AC104335.1",3558,NA
"ENSG00000254996",40,31,77,462,729,564,0.000973433048610174,"ANKHD1-EIF4EBP3",3562,NA
"ENSG00000070729",1,7,79,0,0,2,0.000983192501360545,"CNGB1",3570,NA
"ENSG00000254851",18,25,3,3,1,4,0.000985184783311751,"AP005018.2",3572,NA
"ENSG00000266302",3,0,0,254,43,114,0.00101563192143904,"AC098850.3",3592,NA
"ENSG00000286305",6,0,3,107,112,144,0.0010283595377266,"AC004893.2",3597,NA
"ENSG00000265992",51,1,2,1,0,0,0.00103150429348409,"ESRG",3599,NA
"ENSG00000287581",0,0,0,35,26,58,0.00103362748915959,"AC016549.1",3601,NA
"ENSG00000287695",0,0,0,39,25,52,0.00104562797646448,"AC008625.1",3611,NA
"ENSG00000286316",1,0,0,52,39,91,0.00108466871350304,"Z93020.1",3647,NA
"ENSG00000276758",13,26,83,6,14,0,0.00109639120692015,"AC245884.12",3659,NA
"ENSG00000287131",5,20,56,8,1,0,0.00110258978620977,"AC096970.1",3663,NA
"ENSG00000287872",0,0,0,28,24,84,0.00119227985199572,"AC026956.2",3745,NA
"ENSG00000283515",0,0,0,50,20,48,0.00122371256203161,"AC020915.4",3771,NA
"ENSG00000254387",1,8,26,0,1,0,0.00130576662331374,"MYL12AP1",3822,NA
"ENSG00000273112",29,4,43,9,9,3,0.00135193323138199,"AL590385.2",3847,NA
"ENSG00000287769",1,1,4,64,55,102,0.0013977794858816,"AL353748.3",3874,NA
"ENSG00000286548",4,0,0,217,46,197,0.00144653813150189,"AL596214.1",3904,NA
"ENSG00000286846",0,1,0,66,26,97,0.00145499787574434,"Z93943.1",3911,NA
"ENSG00000110002",99,81,1275,190,64,63,0.00148826239394576,"VWA5A",3935,NA
"ENSG00000286035",13,5,46,306,425,426,0.00149475564406962,"AC073840.1",3947,NA
"ENSG00000286771",1,1,1,68,39,83,0.00151305640746317,"AC097658.3",3955,NA
"ENSG00000287002",3,0,2,50,83,104,0.00155183459153675,"AL589644.1",3969,NA
"ENSG00000287117",0,0,1,97,17,95,0.0016836018074634,"AC105916.1",4040,NA
"ENSG00000287936",1,0,1,49,52,80,0.00175739915538288,"AL391425.1",4084,NA
"ENSG00000233419",4,7,8,1,0,0,0.00177471425171312,"IFITM3P7",4101,NA
"ENSG00000233791",15,17,273,5,7,30,0.00178728432165886,"LINC01136",4115,NA
"ENSG00000285231",5,4,11,1,0,0,0.00178958159865732,"OOSP3",4117,NA
"ENSG00000239039",0,0,0,27,20,78,0.00180545635787222,"SNORD13",4126,NA
"ENSG00000287458",9,8,3,170,283,132,0.00187287425921946,"AL033519.5",4166,NA
"ENSG00000237169",6,13,267,3,14,15,0.00196271614988443,"RPL12P27",4200,NA
"ENSG00000287437",2,0,2,46,62,86,0.00201900515343693,"AL161662.1",4233,NA
"ENSG00000285994",12,0,1,225,643,271,0.0020333934039854,"AL731559.1",4244,NA
"ENSG00000286092",0,0,0,19,36,49,0.00212233041825836,"AC117503.5",4276,NA
"ENSG00000284685",3,0,2,57,104,58,0.00216655346219828,"AC009093.10",4288,NA
"ENSG00000287049",0,0,0,41,22,33,0.00221030478711023,"AC124862.1",4324,NA
"ENSG00000287959",1,0,0,65,43,35,0.00223858953027513,"AC021236.1",4334,NA
"ENSG00000286480",3,0,0,76,61,83,0.00230199868713203,"AC009501.2",4364,NA
"ENSG00000285801",0,0,2,29,61,157,0.00230433444181435,"AL133268.4",4367,NA
"ENSG00000167914",4,92,6,2,9,4,0.00234825247510053,"GSDMA",4394,NA
"ENSG00000285850",7,0,0,225,157,205,0.00239239297616647,"AC009152.3",4410,NA
"ENSG00000285812",1,0,0,35,58,46,0.00239354225001103,"AL390719.3",4415,NA
"ENSG00000201207",11,8,14,1,6,4,0.0025670015937769,"Y_RNA",4475,NA
"ENSG00000286288",40,54,388,69,78,31,0.00257776884361588,"AL109809.4",4478,NA
"ENSG00000258960",7,3,12,1,1,0,0.00260781443073788,"FTH1P13",4485,NA
"ENSG00000285897",8,5,10,192,102,106,0.00263197492048342,"AC004687.2",4497,NA
"ENSG00000196990",3,1,35,0,1,0,0.00267112916404404,"FAM163B",4515,NA
"ENSG00000284638",0,0,0,96,7,47,0.00269123277708604,"AC005551.1",4524,NA
"ENSG00000287829",0,0,0,35,16,52,0.00271057385975894,"AC002542.6",4533,NA
"ENSG00000285679",1,1,0,65,34,81,0.0028167190094831,"AC079142.1",4575,NA
"ENSG00000284882",18,102,669,67,80,46,0.00286490974938291,"AL359762.1",4598,NA
"ENSG00000286366",6,0,4,163,54,213,0.00294444232684338,"AC005052.2",4624,NA
"ENSG00000185842",18,7,10,181,142,1239,0.00295736403064771,"DNAH14",4631,NA
"ENSG00000288603",0,0,0,35,23,29,0.00304957854650226,"SNORA74C-2",4663,NA
"ENSG00000285758",0,1,0,56,29,48,0.00315435548009145,"AC036214.4",4695,NA
"ENSG00000270106",0,0,0,26,27,31,0.00335004261451471,"TSNAX-DISC1",4755,NA
"ENSG00000285996",0,0,0,36,25,24,0.00342830238216163,"AC006116.9",4781,NA
"ENSG00000287665",7,0,22,231,272,257,0.00353856994697315,"AC092428.1",4812,NA
"ENSG00000211766",18,13,4,5,0,1,0.0035428942566789,"TRBJ2-2P",4815,NA
"ENSG00000091482",1,6,9,0,0,0,0.00369950986969143,"SMPX",4851,NA
"ENSG00000284606",3,2,2,86,102,38,0.00371005824806655,"AC105233.4",4854,NA
"ENSG00000287378",0,0,1,32,32,72,0.00371839471800352,"AC129803.1",4859,NA
"ENSG00000286990",3,1,0,113,50,59,0.00373844797056036,"AC016026.2",4871,NA
"ENSG00000284948",16,7,14,8,3,6,0.0037836939954374,"AC107959.4",4881,NA
"ENSG00000287113",0,0,1,107,23,32,0.00382360899917004,"AL139289.2",4894,NA
"ENSG00000284906",0,0,0,16,31,45,0.00384262241039645,"AC091057.5",4902,NA
"ENSG00000243797",2,5,26,2,0,0,0.00398354741451631,"AC004917.1",4951,NA
"ENSG00000286974",25,4,20,576,228,303,0.00405940135578333,"AL662884.5",4972,NA
"ENSG00000288025",2,14,9,193,357,124,0.00413018034812763,"AC093849.4",4991,NA
"ENSG00000287405",9,8,25,165,337,142,0.00423869282930971,"AC017028.2",5017,NA
"ENSG00000162685",3,5,4,0,0,0,0.00425811619775112,"LSP1P3",5022,NA
"ENSG00000285967",67,70,191,1010,897,1179,0.00436466834994921,"NIPBL-DT",5054,NA
"ENSG00000287494",7,1,2,85,121,100,0.00443224551030667,"AC069368.2",5071,NA
"ENSG00000165548",243,25,40,16,3,51,0.00448405109526251,"TMEM63C",5084,NA
"ENSG00000287447",2,0,0,63,52,44,0.00452684273660399,"AC099501.1",5095,NA
"ENSG00000287978",78,57,290,135,52,27,0.0045667709825586,"AC245407.2",5114,NA
"ENSG00000286311",1,1,0,94,13,129,0.00458894330202708,"AL034550.3",5122,NA
"ENSG00000286559",0,0,0,49,9,46,0.00467245655635054,"AC099845.1",5151,NA
"ENSG00000232254",5,6,9,0,0,2,0.00469573826854587,"CSF2RBP1",5155,NA
"ENSG00000248643",14,2,18,168,183,373,0.00473292827682064,"RBM14-RBM4",5162,NA
"ENSG00000286524",0,0,0,24,17,47,0.00473398301788824,"AC092567.2",5165,NA
"ENSG00000288046",7,1,0,17,554,391,0.00479589876921789,"AL031123.5",5171,NA
"ENSG00000285921",0,0,0,41,43,11,0.00480224827294909,"AP000779.1",5172,NA
"ENSG00000287180",2,1,3,82,38,58,0.00493537291909407,"AC106818.2",5195,NA
"ENSG00000285676",8,0,2,125,162,112,0.00503473832604531,"AL158212.5",5217,NA
"ENSG00000287799",2,1,0,41,66,54,0.0052327711725122,"AC005014.4",5276,NA
"ENSG00000287386",0,0,0,18,30,31,0.00523478137212613,"AC009248.3",5282,NA
"ENSG00000286193",0,0,0,32,25,20,0.00532775645095124,"AC025449.2",5305,NA
"ENSG00000287642",20,8,4,3,5,2,0.00537450002091601,"AC093599.2",5317,NA
"ENSG00000287431",1,3,6,62,50,185,0.00540404662223001,"AC027601.5",5319,NA
"ENSG00000213204",4,0,0,69,81,88,0.00542473554663623,"AL049697.1",5323,NA
"ENSG00000284783",0,0,0,23,19,38,0.00542636509876004,"AC091057.4",5325,NA
"ENSG00000285813",6,4,5,87,98,77,0.00542636509876004,"AP000813.1",5326,NA
"ENSG00000285669",1,4,25,252,209,165,0.00548819805489607,"AC026979.4",5337,NA
"ENSG00000287121",1,1,0,40,47,52,0.0055177188587959,"AC007220.2",5346,NA
"ENSG00000188730",6,1,7,0,0,0,0.00556080532060251,"VWC2",5352,NA
"ENSG00000250978",1,9,4,0,0,0,0.00557721755706795,"AC079467.1",5362,NA
"ENSG00000284976",341,275,488,593,414,255,0.00576444947801666,"BX255925.3",5407,NA
"ENSG00000285331",7,2,6,152,53,143,0.00594008282963877,"AC090517.5",5439,NA
"ENSG00000267461",3,2,45,3,0,0,0.00602954684642416,"AC079210.1",5453,NA
"ENSG00000285081",1,0,3,28,111,51,0.0061587663396614,"AC004593.1",5485,NA
"ENSG00000286608",0,1,0,39,30,37,0.00639055906528487,"AC010201.3",5534,NA
"ENSG00000274322",2,0,0,76,34,49,0.00647018915524794,"AL136531.2",5558,NA
"ENSG00000288612",37,52,387,104,54,49,0.00647622449203595,"AL133351.4",5562,NA
"ENSG00000163235",131,173,1592,306,26,13,0.00654934692197774,"TGFA",5575,NA
"ENSG00000285603",0,0,0,27,13,43,0.00656043047533395,"AL035693.1",5578,NA
"ENSG00000286615",1,0,0,25,68,28,0.00672514558831629,"AC011416.4",5603,NA
"ENSG00000254572",5,4,14,3,2,2,0.00672525951875137,"GLULP3",5605,NA
"ENSG00000185985",3,1,20,0,0,1,0.00697855294180921,"SLITRK2",5650,NA
"ENSG00000241656",3,5,6,0,0,1,0.0070570351128593,"UBA52P7",5665,NA
"ENSG00000287214",7,5,4,97,91,98,0.00709968884952879,"AC021321.2",5674,NA
"ENSG00000286677",1,0,1,55,20,79,0.00714286119262692,"AP006545.3",5689,NA
"ENSG00000285697",0,0,0,16,31,27,0.00719707966558051,"AC002059.3",5699,NA
"ENSG00000285852",2,0,0,47,25,130,0.00719960935584676,"AL353147.1",5703,NA
"ENSG00000286365",3,2,0,72,54,65,0.00721243360096294,"AP000553.9",5706,NA
"ENSG00000284968",7,3,19,88,185,213,0.00723015023666024,"AC093827.4",5708,NA
"ENSG00000288075",6,3,32,439,111,286,0.00729939813979973,"AC108519.1",5726,NA
"ENSG00000177338",3,15,2,1,1,0,0.00733864155164086,"LINC00469",5735,NA
"ENSG00000259030",1,1,3,41,47,56,0.00733864155164086,"FPGT-TNNI3K",5736,NA
"ENSG00000285530",0,0,0,57,19,13,0.00734227167508726,"AL445928.2",5738,NA
"ENSG00000287141",0,0,0,16,25,33,0.00740002850948875,"AC093675.2",5748,NA
"ENSG00000258210",0,1,0,26,30,52,0.00766651603491236,"AC144548.1",5804,NA
"ENSG00000286138",2,0,0,28,45,108,0.00777005866325821,"AC010336.7",5820,NA
"ENSG00000288018",1,1,1,44,25,80,0.00779369387335998,"AP003120.1",5830,NA
"ENSG00000286256",12,33,79,2,1,24,0.00791952605000473,"AC084871.3",5854,NA
"ENSG00000287355",0,0,1,21,111,17,0.00813125572882833,"AL451123.2",5897,NA
"ENSG00000285581",2,0,1,32,53,53,0.00848422030200101,"AC091196.1",5942,NA
"ENSG00000231095",1,3,38,3,1,1,0.00869115701924798,"GYG1P3",5977,NA
"ENSG00000285577",0,0,0,2,79,48,0.00933645316651953,"AC019127.1",6079,NA
"ENSG00000284930",5,29,120,3,24,1,0.0094467968866081,"AC005280.2",6090,NA
"ENSG00000286828",0,0,0,31,11,32,0.00980725329441359,"AC008883.3",6137,NA
"ENSG00000254695",2,0,30,0,0,0,0.00998167651258272,"AC087379.2",6177,NA
